OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
298,50,1103690113720,Bartine St,M,S1400,0.000977050488786,-76.892619320625101,40.268635333853638
299,50,1103690113720,Bartine St,M,S1400,0.000977050488786,-76.892744180699367,40.268785649238396
300,50,1103690113720,Bartine St,M,S1400,0.000977050488786,-76.892869000304074,40.268935999696680
301,51,1103704057221,Boyd St,M,S1400,0.003551916280704,-76.888450999813756,40.273217000164493
302,51,1103704057221,Boyd St,M,S1400,0.003551916280704,-76.887796133284894,40.273492293434629
303,51,1103704057221,Boyd St,M,S1400,0.003551916280704,-76.887141843221457,40.273768961768212
304,51,1103704057221,Boyd St,M,S1400,0.003551916280704,-76.886487896699009,40.274046408015352
305,51,1103704057221,Boyd St,M,S1400,0.003551916280704,-76.885834159718684,40.274324369574060
306,51,1103704057221,Boyd St,M,S1400,0.003551916280704,-76.885182000149143,40.274606000366703
307,52,110479899622,Marion St,M,S1400,0.002255750672492,-76.887113000164788,40.270584000151530
308,52,110479899622,Marion St,M,S1400,0.002255750672492,-76.887381604277550,40.270946471902221
309,52,110479899622,Marion St,M,S1400,0.002255750672492,-76.887649407993763,40.271309537205411
310,52,110479899622,Marion St,M,S1400,0.002255750672492,-76.887916171194320,40.271673366033042
311,52,110479899622,Marion St,M,S1400,0.002255750672492,-76.888181448714874,40.272038283040388
312,52,110479899622,Marion St,M,S1400,0.002255750672492,-76.888446999629309,40.272403000398185
313,53,110479905234,Cumberland Ct,M,S1400,0.000065735731506,-76.886393000236751,40.270162999622812
314,53,110479905234,Cumberland Ct,M,S1400,0.000065735731506,-76.886385706734927,40.270152061168744
315,53,110479905234,Cumberland Ct,M,S1400,0.000065735731506,-76.886378486078229,40.270141074151297
316,53,110479905234,Cumberland Ct,M,S1400,0.000065735731506,-76.886371272616088,40.270130082637252
317,53,110479905234,Cumberland Ct,M,S1400,0.000065735731506,-76.886364059153948,40.270119091123206
318,53,110479905234,Cumberland Ct,M,S1400,0.000065735731506,-76.886357000375256,40.270107999784443
319,54,110479897244,James St,M,S1400,0.001932595275434,-76.886064000353315,40.266636999797754
320,54,110479897244,James St,M,S1400,0.001932595275434,-76.886296416646246,40.266945536507365
321,54,110479897244,James St,M,S1400,0.001932595275434,-76.886516509529258,40.267263272382195
322,54,110479897244,James St,M,S1400,0.001932595275434,-76.886736991818680,40.267580738460367
323,54,110479897244,James St,M,S1400,0.001932595275434,-76.886954647538914,40.267900143476879
324,54,110479897244,James St,M,S1400,0.001932595275434,-76.887176000372108,40.268216999814740
325,55,110479895341,Pear St,M,S1400,0.001400056812316,-76.885812999570248,40.267214000325907
326,55,110479895341,Pear St,M,S1400,0.001400056812316,-76.885553939063016,40.267320272312759
327,55,110479895341,Pear St,M,S1400,0.001400056812316,-76.885295137560490,40.267427129758289
328,55,110479895341,Pear St,M,S1400,0.001400056812316,-76.885035509581087,40.267531996104765
329,55,110479895341,Pear St,M,S1400,0.001400056812316,-76.884776317772832,40.267637942537078
330,55,110479895341,Pear St,M,S1400,0.001400056812316,-76.884518000105572,40.267745999678198
331,56,1102169837224,Sixth St,M,S1400,0.000749566825623,-76.884723999712776,40.268286000298701
332,56,1102169837224,Sixth St,M,S1400,0.000749566825623,-76.884784295658676,40.268423253030733
333,56,1102169837224,Sixth St,M,S1400,0.000749566825623,-76.884848210476491,40.268558449912575
334,56,1102169837224,Sixth St,M,S1400,0.000749566825623,-76.884895550788997,40.268700551789095
