OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
107,22,110479897312,Klemm St,M,S1400,0.002804094935317,-76.897984357592009,40.298814835236499
108,22,110479897312,Klemm St,M,S1400,0.002804094935317,-76.897423999917635,40.298792999697241
109,24,1102169831844,Paul Aly,M,S1730,0.000934481565424,-76.901187999926208,40.298658999813028
110,24,1102169831844,Paul Aly,M,S1730,0.000934481565424,-76.901001199945370,40.298652999536330
111,24,1102169831844,Paul Aly,M,S1730,0.000934481565424,-76.900814399964531,40.298647000159008
112,24,1102169831844,Paul Aly,M,S1730,0.000934481565424,-76.900627599983693,40.298640999882309
113,24,1102169831844,Paul Aly,M,S1730,0.000934481565424,-76.900440800002855,40.298635000504930
114,24,1102169831844,Paul Aly,M,S1730,0.000934481565424,-76.900254000022016,40.298629000228232
115,25,1102390232245,Joseph St,M,S1400,0.001906204887644,-76.894003999584868,40.295080000241853
116,25,1102390232245,Joseph St,M,S1400,0.001906204887644,-76.893968882857621,40.295459620265319
117,25,1102390232245,Joseph St,M,S1400,0.001906204887644,-76.893933445971697,40.295839210611121
118,25,1102390232245,Joseph St,M,S1400,0.001906204887644,-76.893894096135568,40.296218398060660
119,25,1102390232245,Joseph St,M,S1400,0.001906204887644,-76.893850264078367,40.296597109768868
120,25,1102390232245,Joseph St,M,S1400,0.001906204887644,-76.893808000438810,40.296976000442100
121,26,1102384580859,Agnes St,M,S1400,0.000494144983114,-76.896773999620336,40.296681000327965
122,26,1102384580859,Agnes St,M,S1400,0.000494144983114,-76.896764799555797,40.296779400548928
123,26,1102384580859,Agnes St,M,S1400,0.000494144983114,-76.896755599491257,40.296877799870629
124,26,1102384580859,Agnes St,M,S1400,0.000494144983114,-76.896746400326094,40.296976200091592
125,26,1102384580859,Agnes St,M,S1400,0.000494144983114,-76.896737200261555,40.297074599413293
126,26,1102384580859,Agnes St,M,S1400,0.000494144983114,-76.896728000197015,40.297172999634256
127,27,1102384697220,Hoffman St,M,S1400,0.000586875537768,-76.896466999852123,40.295237000287386
128,27,1102384697220,Hoffman St,M,S1400,0.000586875537768,-76.896448087109491,40.295352841960153
129,27,1102384697220,Hoffman St,M,S1400,0.000586875537768,-76.896435317635735,40.295469459747835
130,27,1102384697220,Hoffman St,M,S1400,0.000586875537768,-76.896424809956955,40.295586363519931
131,27,1102384697220,Hoffman St,M,S1400,0.000586875537768,-76.896409422556758,40.295702596397746
132,27,1102384697220,Hoffman St,M,S1400,0.000586875537768,-76.896387999806279,40.295818000100667
133,28,110479896751,Edwin Ave,M,S1400,0.006619745566994,-76.901634999855332,40.306889999873647
134,28,110479896751,Edwin Ave,M,S1400,0.006619745566994,-76.900330570999017,40.306663513710248
135,28,110479896751,Edwin Ave,M,S1400,0.006619745566994,-76.899024412746428,40.306447219563609
136,28,110479896751,Edwin Ave,M,S1400,0.006619745566994,-76.897720991130825,40.306215100046870
137,28,110479896751,Edwin Ave,M,S1400,0.006619745566994,-76.896417809634158,40.305981556004042
138,28,110479896751,Edwin Ave,M,S1400,0.006619745566994,-76.895115999603661,40.305744000085610
139,30,110479900155,Antoine St,M,S1400,0.003868036727155,-76.897291000079576,40.296250000237364
140,30,110479900155,Antoine St,M,S1400,0.003868036727155,-76.896518638924022,40.296206187965254
141,30,110479900155,Antoine St,M,S1400,0.003868036727155,-76.895746340721018,40.296161957508389
142,30,110479900155,Antoine St,M,S1400,0.003868036727155,-76.894973803298342,40.296122381942439
143,30,110479900155,Antoine St,M,S1400,0.003868036727155,-76.894203952150633,40.296063567179942
144,30,110479900155,Antoine St,M,S1400,0.003868036727155,-76.893432000186635,40.296013000099947
